Star,iter_0,iter_1,iter_2
0,326.8913705015041,147.68745489352906,144.69056788408014
1,77.03857707496266,124.37599966959591,181.6467772965011
2,192.44028696191185,111.22799423792787,145.4537546780413
3,157.45348387802565,87.75552038577956,199.6420312625729
4,175.4968554536008,41.31458027807539,116.44019342234851
5,268.6649284149502,190.427785045688,78.4811015235699
6,182.7098092961892,156.51044244944066,201.5848590847412
7,168.3050801646535,84.70843255287377,112.07668192359351
8,104.94538045951253,94.4510254643193,67.84796435471293
9,167.50711877840513,197.44233185196612,127.09253398862144
10,83.94693662869999,209.71075886353657,159.39559239468215
11,176.42269894237063,220.29479516589416,159.51687318239792
12,135.17566702926027,141.7195331419719,172.30267178534686
13,66.20680306774585,279.9014875712239,100.07867921140301
14,184.40743679724875,216.30292158070878,63.398504842902604
15,162.94035266435665,82.97699513790711,129.69400143747706
16,86.44186470627146,121.86740757770883,55.935188158932384
17,120.7498523059447,219.8080623074977,148.97141534257022
18,102.48268586833545,104.53451248364958,95.50889392370404
19,196.82001529518917,106.51860660328401,185.57593122720525
20,87.22531901447695,195.96478224142788,89.55329431276631
21,146.12247854303132,197.05995911613763,193.5017871412246
22,145.3120682559551,182.3624123210061,109.83641925696529
23,186.22896108328942,159.81169261590466,129.37243507678872
24,104.3404426229587,90.46401425484422,115.961032356508
25,101.09582613335232,234.85510261344663,153.6334682383159
26,138.5751563519686,139.13425627127782,173.35077572717051
27,197.51003753765124,112.35791756222233,172.96971401827344
28,186.8078115034687,59.81016445849111,161.73394464232626
29,190.60884236712968,137.35584502530023,148.82313930107892
30,199.26498022541742,120.72184373706428,54.08300605202807
31,172.13980598658256,190.8959885691693,152.81272682646818
32,159.90078185000607,193.6056170586351,159.50603195065676
33,63.16029854994504,199.3995929167848,131.88495835824415
34,103.67940329308459,233.92314618764084,147.14957247535753
35,204.1223695244943,126.51936347649337,124.68306158275381
36,173.51084699379777,154.04178047162264,199.3146514451624
37,208.72715112659745,106.83249046108232,168.8868783076104
38,230.05224330760743,91.17814144810998,100.94284918593728
39,91.56014203267672,208.10379232077238,104.03218362204082
40,157.4389632028485,173.73617123540552,232.2718581322026
41,99.58638757858465,178.89980411746365,212.00597986806937
