Star,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31
0,638.9288644640972,909.0763926383049,457.6344711596429,158.3384844243153,604.5118696906968,529.647755442243,262.3064382121926,529.3240118069915,192.79958767179917,507.48070430159913,373.3393673106534,560.9132154745135,691.7510689603392,1068.8923319690498,276.3307001804531,441.68817923128825,973.2443810626789,360.7790226229422,727.6026277755059,575.1525845536604,351.61802301224236,591.7146722619232,603.1560538249367,365.4799651314014,816.009175641937,520.2279712771933,341.9064415230311,673.5677488907133,614.6908530229314,386.27854421170116,597.5471111237628,356.54562791739147
1,1059.449789380929,546.5446612057526,990.4711944418091,419.689974153503,587.986568479929,664.1804675052965,631.1389827720554,395.64375144571693,341.5282470426168,992.5368264193751,342.49558761723296,278.2411992509892,456.66013706550376,502.4005484908579,551.7632076733291,319.3868489707094,733.2290654037125,633.5479684492498,1223.4613501562442,138.69981307364742,727.4904438952816,629.828911316125,356.86844809340903,1301.8325745669183,749.9754107647574,735.5566465519557,1099.52644174101,735.2298116354699,689.2117596223464,748.7961537592431,314.1647309698617,1080.6616644461878
2,176.1092926096812,647.3013467565269,437.7082220836196,423.5023049374683,1177.5991812456432,239.38502505543786,882.6451754464734,859.0285125746366,380.30513951151966,281.10315188860204,688.2420500863693,458.9261188617423,503.47418402994265,454.4307317804136,664.8450357440474,1164.4667965716142,480.72317611160804,948.3560285024718,955.6618436481774,795.9815610806118,885.085678041132,473.45351157056183,464.0390289446492,951.2095644610425,712.9281590597598,485.9885502420776,411.9542267039158,1094.1957426824686,509.4737773978561,543.9467431428913,631.9988608646493,1576.4821540949
3,748.5555048428557,389.72244083782357,173.21156324887102,1233.1774458742264,927.2031449251716,495.73032049364434,1316.530845567609,562.9214250030556,453.30861679870463,596.502140621867,437.4140245262375,1188.4196259627797,400.5775881689338,780.638034167796,475.45602541607354,868.8759965069552,297.10274107842696,948.3560285024718,1053.7725101887386,1158.5740995600265,311.60577620763223,679.9728014692388,359.48103875945253,800.5988362895507,1736.6916060372023,999.6865341058823,694.9966383643186,890.8908669449191,1493.2844107548974,926.2947558047796,1114.0417367399446,1281.9583252235684
4,789.1289470451278,774.445427034564,543.4492518908124,509.6980715781783,87.48923311187012,675.3344112785112,506.07026529785213,602.8511045858858,748.1983687464864,369.08769027418265,607.7083766064621,286.29544600773323,409.32615089495914,394.26137216966066,822.7476079507579,508.41402728487935,535.8619285792963,785.714588274782,978.1631994718215,579.1296174601488,1135.8739859269333,734.2133608172791,895.3390235069078,648.7304822158602,270.6820903192619,337.4252827580367,1291.6332401744678,828.7758657850652,599.2749628540329,1284.592285427163,214.7371418115753,741.3495020700004
5,1076.2621794588313,842.5182078726393,449.1102115965451,674.7991146510683,362.9491182615333,1036.7438099206893,465.2959133632801,228.48583338363025,446.00698286179954,1033.295861478447,521.3841172115572,476.009893098551,1377.2594450692693,700.3781787167386,880.8647940382967,616.609056824805,918.890646596727,712.4610411859785,302.51958291439183,651.0024760000477,248.6937297278518,617.239839900894,285.08974016356177,583.0236306130088,985.9521842177779,312.8654567779512,1037.9240133207445,240.91410316532108,394.839251314217,508.2284791025781,476.14304524329856,668.8353755479146
6,467.44985960041413,456.58235413312184,439.2632916445031,752.1549139873651,825.644959882842,887.8685051126176,647.8790132269737,614.9158763093819,1007.5737573889922,469.6435968991268,468.7952610940333,1499.574341048462,888.9764053703746,632.9957063131211,989.6028700615446,1100.7210602975556,535.7750233047614,597.5289584154111,358.9592763431151,978.3734756181807,650.9226186086836,673.4348705460085,304.4078826050407,674.9648486365109,641.1122335012324,351.5880130138717,810.7565021657344,462.98251102447466,940.7495370680136,1100.6735100964415,1000.3032465282281,550.7806191771696
7,921.4693731101067,728.9441512352901,537.5705842861028,772.7371978398105,363.64183535155286,954.4898767608908,373.26174375555934,808.645706682566,1207.6566298666355,391.247186562959,813.9571540481263,706.904900082496,1343.9538632251806,576.5143844644637,380.71803195333825,720.9459531269905,551.9710928952059,600.7004531997941,1271.7431534143,610.1367496596899,775.8672726172613,1178.6906232974852,458.13296929017906,346.27978389320367,599.7071426787135,358.7760827598209,879.0090606332373,340.1165625617184,360.3353625588449,527.9380183906572,445.3766597598704,698.5574970445673
8,467.8800840792884,660.7938131392831,648.050315456022,912.3978392235355,445.571659947628,438.61184602420997,585.2276709863054,930.7434500612967,454.8476019480669,179.58219247661287,752.0529502191656,417.80393660598736,459.72956913081276,223.6860775971275,819.4482501183691,1192.7636910405379,235.29552835451938,710.547996085543,712.9585156850875,921.5343960855857,851.2728205010994,541.4975539471849,420.8977670596895,955.5751623337487,307.9201175138037,987.1476218483089,737.9838232354128,256.933742230151,212.70945573354393,395.707537583852,686.1292355544409,1125.9582789454616
9,355.6081734295,816.8427747085346,543.4492518908124,483.27382436849524,423.99832036464016,329.3782861347292,728.0840068226736,676.2931116607957,115.36921386305983,701.1034794408247,660.6853418159718,872.1896003373153,1010.2653785119444,509.95380656891354,467.1591438611208,798.9948828595249,678.4730332850113,730.3597541928177,482.4805328858848,543.37040577335,370.5203387942608,639.592845958473,463.93317748274836,553.0820686843251,522.4102055455584,684.4456654706244,495.57039020848595,824.1696855334379,452.52530419958487,994.6643446976392,313.22572133426195,478.6429300591481
10,422.2216745881941,1256.4178941960072,764.038394605246,841.6803103626787,509.43757966803116,1505.93783817871,860.8524094144406,869.0392675384226,417.0780807023273,377.8286731181209,343.77235816522125,255.52883877586862,428.72453562172086,824.0909327034558,717.0947228333089,798.5181941290052,793.8801996695547,294.7264725498059,956.3384353712279,715.9046995420216,892.0384918558932,560.4600920329508,839.6234436707705,726.117583741198,437.4693047079809,678.069470723187,203.60632489738904,433.43904704942133,770.0568724128951,667.850244103532,474.16276533287305,831.2369758060464
11,941.41200534291,705.6582755445219,442.538077851254,533.1750289118797,968.7139510021033,449.6011778450832,557.4883288372612,749.3963346282561,417.23517967814456,720.1316089737737,914.8254628874306,1105.5464178544603,1215.2432620407678,739.4131604604015,538.2356808975144,598.003853988269,909.3489488417978,716.4015491638102,419.54935371752697,668.7117300571887,810.0163509620141,755.0139575168361,945.6491456334726,409.5189730986709,1245.063530239326,922.9854293658665,743.3164700946974,372.03338680788653,133.98157567169835,1629.0925480268806,244.69592588029295,666.3891812783243
12,269.9619821442075,796.27950122966,453.96423996773086,802.2111362050996,895.3892195534735,674.2633444595685,834.9923487769096,468.1532278250582,1197.367141594239,537.8397981281024,400.53208974987484,104.91200838762803,402.14562275945906,367.9197652155565,415.0346428367176,598.2405316019141,672.1706942651726,654.7534418880394,411.8287664279754,1317.8713340620202,328.8275346547732,459.03217999035127,990.0897248184842,710.1568735031195,595.8155732898854,522.2432795061508,298.67329662338534,467.83145520124094,992.4177700508286,335.0494309051338,295.73093973136645,272.4304820529273
13,910.5221182560045,796.27950122966,399.517244607945,855.9559256288991,403.67011185717354,589.5514364076488,921.4670322477093,693.6077847859951,871.7119539857923,603.9034302152462,749.4835307421029,783.223747054538,619.9251197201992,619.5783959998795,672.6547077159115,899.8683192300518,821.9130254190591,1211.981408414726,174.69501560745462,900.254679081348,731.4040026450808,591.6208981952379,717.5197538185625,292.82799488001075,472.49033465917296,388.20340490840636,594.1854909263158,523.0914519329806,862.1378018037445,727.2511689846427,428.5747979854044,439.10383781710425
