Star,iter_0
0,195.54876617950327
1,188.98989484345435
2,169.87503526292002
3,54.19982215351603
4,203.39664576565673
5,41.770514240961965
6,263.87367530074056
7,163.31031975427717
8,179.5309663042243
9,99.63454994116448
10,151.8093917946191
11,111.58356757528159
12,121.83648828307292
13,144.85005643095326
14,134.36206305796884
15,92.51439517980454
16,175.54418732624654
17,229.12677550458469
18,49.05468154021792
19,98.72245412748696
20,170.84633928569934
21,259.36646383671086
22,120.09245359880195
23,138.76471476583754
24,219.36613768158136
25,165.38647504564727
26,129.67502603127062
27,159.01247898450976
28,28.9332523606527
29,132.7397033402396
30,169.45534193320898
31,162.23848360575045
32,170.9277433666347
33,174.69247568514805
34,165.61658804285256
35,128.07686678958305
36,142.12692961604614
37,219.12843027128508
38,144.24467344314166
39,126.53875067413246
40,137.0614294589214
41,184.2097095273601
42,200.3182930114615
43,150.295631418649
44,242.1865953421557
45,180.04030508875596
46,166.8112536176509
47,87.69422763495791
48,124.02841913361038
49,124.86977319952805
50,149.84455768031742
51,137.60705764253674
52,76.99518463085809
53,137.71190802465318
54,129.27107129112377
55,296.9964627143288
56,232.39118453415156
57,106.54305386520909
58,66.84816036387573
59,233.56648146017824
60,265.5252242050295
61,99.40915983072821
62,96.36368972569464
63,195.9985954991913
64,107.98050049276858
65,189.66776098165434
66,275.93582155783764
67,124.46907978935164
68,143.60967971940036
69,127.04850775433145
70,114.53690351799814
71,204.25368058445505
72,109.33125792305123
73,112.41355141924663
74,70.70365707479398
75,118.64195338403249
76,99.48433041270627
77,241.88955796827995
78,85.46056623256219
79,122.65019140385645
80,167.49079532070843
81,140.6998392032642
82,146.26158937529553
83,137.63563189423635
84,100.9900265828475
85,188.46135876320028
86,72.8982513550952
87,105.66331908246768
88,212.72079611983165
89,183.51822207082813
90,123.68111266797723
91,98.22677666159024
92,43.26258109107444
93,180.05339082454293
94,129.02300983829562
95,120.91822707568427
96,99.71505497803057
97,216.99147106294583
98,176.74980947876105
99,265.44511616604393
100,92.2175336789152
101,27.37482622765238
102,114.81469919391725
103,122.79545400641169
104,129.49543089050837
105,128.81693966454534
106,44.79060156096861
107,88.5267461576713
108,148.3230230747203
109,116.9987016579484
110,116.03956137855599
111,165.05022119645417
112,124.53125239005524
113,166.93237955559158
114,114.6433466144446
115,137.95015643513804
116,229.9832225331297
117,164.14676067655415
118,162.40895195640408
119,101.20472541150615
120,237.5564944580025
121,152.16585063566157
122,122.18912291427509
123,198.4148818143215
124,144.38845087339757
125,166.68649784804154
126,142.23520595799755
127,131.17813844333045
128,252.57556652363314
129,164.29305946568996
130,57.01226615036384
131,149.38209764809162
132,63.5582265273068
133,189.3800631056613
134,148.96831368308833
135,173.03615226926766
136,152.48303122708012
137,109.86796444086445
138,101.0705168659821
139,124.40422030256889
140,203.722377090095
141,272.330999020182
142,245.515379914643
143,155.32317450572512
144,87.45917363054268
145,180.9051454284043
146,178.34572544163007
147,188.85324568466453
148,95.62573342717812
149,162.5959952222406
150,158.58112013749948
151,148.33588114315003
152,237.70625608327197
153,178.39136419353028
154,64.9061345279424
155,139.83529404665066
156,88.46683507297719
157,76.40332870189845
158,154.90181583397722
159,147.47118761608843
160,81.12652720740206
161,124.16931861001275
162,111.14478526737655
163,258.63341620829
164,100.12283114874236
165,202.44294167720676
166,177.12904906698378
167,123.00588332652647
168,220.81962015303796
169,201.58984225778633
170,138.71330996202326
171,84.18341133977299
172,178.22398816172281
173,59.047607359472934
174,192.12020529713556
175,158.31899010991057
176,135.01697419551704
177,176.05811476473698
178,135.04551386793972
179,123.32228470552138
180,141.9118202082172
181,54.66677116427155
182,103.9522825021836
183,157.50145238958902
184,120.61218704451998
185,208.9544901158594
186,130.754670580207
187,109.00368264067365
188,185.30323055657033
189,116.47033934408122
190,176.67071023164704
191,81.92453466284067
192,144.1070005696661
193,162.3299078895093
194,132.63441198659748
195,230.1607830466697
196,216.5735477058767
197,105.19012416147129
198,76.363464542143
199,150.13141815915824
200,126.70717091429358
201,108.72569799019433
202,53.965901227533664
203,177.9569142478078
204,48.58099234129513
205,159.1803454373518
206,106.94738067122644
207,171.0509921696366
208,277.24643312405107
209,168.77515951190912
210,287.7921392773283
211,211.1793827444255
212,221.3160515731412
213,160.63299949505472
214,108.84367603035854
215,179.3371582485275
216,223.74589631162505
217,117.27968258769845
218,154.16503470281637
219,195.75865373807545
220,118.21474840513956
221,102.91862965850234
222,158.3884557938703
223,170.47172548501163
224,208.0802084620864
225,137.82841115795742
226,179.33521632436845
227,149.3362185113665
228,169.91284234761383
229,166.33170479029627
230,284.1524960868907
231,176.3627324321849
232,120.74917872692156
233,158.0666670293863
234,181.79237484442285
235,173.6974264598508
236,128.58666045845843
237,125.0187522646322
238,122.03055076128857
239,204.36336410446168
240,161.5843194222615
241,177.30874568710365
242,170.00549299404724
243,115.26973573116786
244,120.84064372153534
245,179.32590835087694
246,220.22332851096726
247,173.00223758113975
248,156.4547907407192
249,113.43959089646036
250,160.2923431781227
251,127.93840539603863
252,72.71431812789842
253,140.96896779853444
254,68.16902269714815
255,86.74828910098753
256,63.0630921435063
257,148.28403293119766
258,174.11434251141128
259,196.4064733567279
260,107.96743552699492
261,191.81780500451802
262,197.03809269956713
263,161.3926614562608
264,115.18803686186328
265,145.48754074391798
266,178.96434069344832
267,51.601103079026856
268,156.67271404364004
269,103.71331105827893
270,121.21570010934337
271,103.01420302686724
272,125.6631594372866
273,134.60582418376768
274,142.78743188115774
275,143.3077178199578
276,139.18796354087115
277,175.45612673023606
278,159.90449994696112
279,143.85699584680663
280,180.44793538461857
281,28.642250809008168
282,90.50851109641631
283,131.57401995016266
284,130.1298743472982
285,116.75069460656877
286,257.8908375090138
287,128.39388253712943
288,176.29783906248824
289,165.27916871160704
290,174.52909698638246
291,54.20215325162397
292,171.00597658285528
293,111.65633062744185
294,100.00314957656597
295,204.33521962107625
296,218.68162314286576
297,190.21372675388304
298,211.78911250348176
299,142.40776504650844
300,28.575428980555277
301,183.01435643493298
302,117.01078755452701
303,136.4982751794893
304,94.43893596039247
305,70.21839087718726
306,94.38308018814725
307,188.75859446665044
308,119.57149728534226
309,102.53307891812383
310,234.80258554368052
311,163.7443456479861
312,79.66791118024423
313,239.48269897676772
314,179.46184005832305
315,126.75954525781755
316,180.46887631890388
317,125.17938160059103
318,209.6439010235592
319,275.91904832156433
320,101.21651101111237
321,117.58141503651007
322,119.28806410015397
323,201.51873877983766
324,194.5524251787845
325,149.60810525878674
326,105.5142190070672
327,60.18807902317986
328,68.8858306073691
329,96.78582070885876
330,232.5505143225821
331,222.22497555110348
332,134.99356536382652
333,104.92929714039383
334,194.27223447285542
335,297.17043847845065
336,198.9266583271678
337,150.0790119868535
338,233.66402590243777
339,156.86926870986932
340,115.88772862873012
341,65.63476711257961
342,145.28467966517465
343,134.81997962171883
344,159.31492070847665
345,199.3174630779294
346,190.07738154868906
347,183.51697064362168
348,191.4597972158422
349,194.02420481947811
350,83.28922910884184
351,188.69615192129734
352,139.15631162537906
353,141.8715345112336
354,175.37993622423576
355,157.65123581703878
356,226.6516250228784
357,136.29264547710227
358,107.75438370513666
359,103.90620206846775
